gutenberg_id,text
31485,                                     The BLUE GOOSE
31485,
31485,                                    FRANK LEWIS NASON
31485,
31485,                            AUTHOR OF TO THE END OF THE TRAIL
31485,
31485,
31485,"COPYRIGHT, 1903, BY"
31485,"McCLURE, PHILLIPS & CO."
31485,NEW YORK
31485,
31485,"Published, March, 1903, R"
31485,Second Impression
31485,
31485,       *       *       *       *       *
31485,
31485,"""_So I prophesied as I was commanded: and as I prophesied, there was a"
31485,"noise and behold a shaking, and the bones came together bone to bone._"
31485,
31485,"""_And, lo, the sinews and the flesh came upon them, but there was no"
31485,breath in them._
31485,
31485,"""_Son of man, prophesy unto the wind. Come from the four winds, O"
31485,"breath, and breathe upon these that they may live._"
31485,
31485,"""_And the breath came into them and they lived._"""
31485,
31485,    To
31485,"    MY FRIEND OF TWENTY-ONE YEARS,"
31485,"    CHARLES EMERSON BEECHER,"
31485,
31485,"who, with infinite skill and patience, has breathed the breath of life"
31485,"into the dry bones of Earth's untold ages of upward struggle, who has"
31485,"made them speak of the eternity of their past, and has made them"
31485,"prophesy hope for the eternity to come, this book is dedicated by the"
31485,author.
31485,
31485,
31485,
31485,
31485,CONTENTS
31485,
31485,
31485,       I. THE BLUE GOOSE
31485,
31485,      II. THE OLD MAN
31485,
31485,     III. ELISE
31485,
31485,      IV. THE WATCHED POT BEGINS TO BOIL
31485,
31485,       V. BENNIE OPENS THE POT AND FIRMSTONE COMES IN
31485,
31485,      VI. THE FAMILY CIRCLE
31485,
31485,     VII. MR. MORRISON TACKLES A MAN WITH A MIND OF HIS OWN AND A MAN WITHOUT
31485,          ONE
31485,
31485,    VIII. MADAME SEEKS COUNSEL
31485,
31485,      IX. THE MEETING AT THE BLUE GOOSE
31485,
31485,       X. ELISE GOES FORTH TO CONQUER
31485,
31485,      XI. THE DEVIL'S ELBOW
31485,
31485,     XII. FIGS AND THISTLES
31485,
31485,    XIII. THE STORK AND THE CRANES
31485,
31485,     XIV. BLINDED EYES
31485,
31485,      XV. BENDING THE TWIG
31485,
31485,     XVI. AN INSISTENT QUESTION
31485,
31485,    XVII. THE BEARDED LION
31485,
31485,   XVIII. WINNOWED CHAFF
31485,
31485,     XIX. THE FLY IN THE OINTMENT
31485,
31485,      XX. THE RIVER GIVES UP ITS PREY
31485,
31485,     XXI. THE SWORD THAT TURNS
31485,
31485,    XXII. GOOD INTENTIONS
31485,
31485,   XXIII. AN UNEXPECTED RECRUIT
31485,
31485,    XXIV. THE GATHERING TO ITS OWN
31485,
31485,     XXV. A DIVIDED HOUSE
31485,
31485,    XXVI. THE DAY OF RECKONING
31485,
31485,   XXVII. PASSING CLOUDS
31485,
31485,
31485,
31485,
31485,THE BLUE GOOSE
31485,
31485,
31485,
31485,
31485,CHAPTER I
31485,
31485,_The Blue Goose_
31485,
31485,
31485,"""_Mais oui!_ I tell you one ting. One big ting. Ze big man wiz ze glass"
31485,"eyes, he is vat you call one slik stoff. Ze big man wiz ze glass eyes."""
31485,
31485,"""The old man?"""
31485,
31485,"""Zat's him! One slik stoff! _Ecoutez!_ Listen! One day, you mek ze gran'"
31485,"trip. Look hout!"" Pierre made a gesture as of a dog shaking a rat."
31485,
31485,The utter darkness of the underground laboratory was parted in solid
31485,"masses, by bars of light that spurted from the cracks of a fiercely"
31485,"glowing furnace. One shaft fell on a row of large, unstoppered bottles."
31485,"From these bottles fumes arose, mingled, and fell in stifling clouds of"
31485,fleecy white. From another bottle in Pierre's hands a dense red smoke
31485,"welled from a colourless liquid, crowded through the neck, wriggled"
31485,"through the bar of light, and sank in the darkness beneath. The darkness"
31485,"was uncanny, the fumes suffocating, the low hum of the furnace forcing"
31485,out the shafts of light from the cracks of the imprisoning walls
31485,infernally suggestive.
31485,
31485,"Luna shivered. He was ignorant, therefore superstitious, and"
31485,superstition strongly suggested the unnatural. He knew that furnaces and
31485,retorts and acids and alkalies were necessary to the refinement of gold.
31485,"He feared them, yet he had used them, but he had used them where the"
31485,full light of day robbed them of half their terrors. In open air acids
31485,"might smoke, but drifting winds would brush away the fumes. Furnaces"
31485,"might glow, but their glow would be as naught in sunlight. There was no"
31485,"darkness in which devils could hide to pounce on him unawares, no walls"
31485,"to imprison him. The gold he retorted on his shovel was his, and he had"
31485,no fear of the law. In the underground laboratory of Pierre the element
31485,"of fear was ever present. The gold that the furnace retorted was stolen,"
31485,"and Luna was the thief. There were other thieves, but that did not"
31485,matter to him. He stole gold from the mill. Others stole gold from the
31485,mine. It all came to Pierre and to Pierre's underground furnace. He
31485,"stood in terror of the supernatural, of the law, and, most of all, of"
31485,"Pierre. In the darkness barred with fierce jets of light, imprisoned by"
31485,"walls that he could not see, cut off from the free air of open day,"
31485,"stifled by pungent gases that stung him, throat and eye, he felt an"
31485,"uncanny oppression, fear of the unknown, fear of the law, most of all"
31485,fear of Pierre.
31485,
31485,Pierre watched him through his mantle of darkness. He thrust forward his
31485,"head, and a bar of light smote him across his open lips. It showed his"
31485,"gleaming teeth white and shut, his black moustache, his swarthy lips"
31485,parted in a sardonic smile; that was all. A horrible grin on a
31485,background of inky black.
31485,
31485,Luna shrank.
31485,
31485,"""Leave off your devil's tricks."""
31485,
31485,"""_Moi?_"""
31485,
31485,Pierre replaced the bottle of acid on the shelf and picked up a pair of
31485,tongs. As he raised the cover of the glowing crucible a sudden
